Date;Accumulated Monthly precipitation (mm);Average monthly energy price ($COP/kWh);Average Energy Demand (kWh);Average Energy Generation (kWh);Average Energy Demand not met (kWh);Average energy exportation (kWh);Average Energy Importation (kWh);Condiserable importation 
1/01/2005;3879.8;85.41547868;127315802.1;132629661.8;251410;5565269.683;0;0
1/02/2005;4615.7;75.11273326;132452874.9;136994749.7;380656.7857;4923539.211;4702.126667;0
1/03/2005;4613.4;67.54261342;131903522.3;134961296.4;466955.8065;3734601.101;500462.0215;0
1/04/2005;8381.2;67.09135714;135200659.6;138081042.1;569801.6667;3610571.663;300726.5563;0
1/05/2005;13889.8;72.90801742;132606755.5;136786794.7;369209.6774;4604879.52;143712.42;0
1/06/2005;4238.2;58.87773314;133454204;137115318;189905.3333;4021112.381;392522.25;0
1/07/2005;4486.5;82.13349492;131949959.8;136847020.2;185002.2581;5133735.487;320371.84;0
1/08/2005;4207;89.68312158;135343864.2;140568503.4;177367.4194;5481695.339;224577.2891;0
1/09/2005;5829.8;90.45952446;137867829;142100963.6;313256.3333;4805148.195;323446.5325;0
1/10/2005;12964.8;91.00228601;134423705.1;139551894.3;571311.2903;5751802.525;231623.1829;0
1/11/2005;10293.6;51.8301149;136129906.6;141436508.6;260968.6667;5571135.756;53475.94;0
1/12/2005;5223.1;84.81690834;136800642.8;140973900.7;218522.9032;4559733.518;371895.3336;0
1/01/2006;5736.1;81.96199797;132147871.4;137184424.4;158533.871;5195715.147;3895.422;0
1/02/2006;4097.9;78.64954375;138601770.9;143620973.4;122664.2857;5148915.948;32896.41333;0
1/03/2006;15075.6;62.3746082;137694425;141914216.1;192456.4516;4604842.63;314234.1553;0
1/04/2006;20057.9;52.6129201;134652239.9;138555738.3;132987.3333;4291490.571;478134.2169;0
1/05/2006;15857.2;50.10610732;138306256.4;140782006.7;168860.9677;2895849.733;370875.7362;0
1/06/2006;10606;50.10034252;138414263.8;141998895.3;200898.3333;3882437.43;193815.12;0
1/07/2006;3483.9;51.26282317;139500111.2;143770513;114953.2258;4386017.192;2565.8225;0
1/08/2006;3729.1;68.21250282;140939955.1;145180529.4;171115.4839;4716879.45;4519.893333;0
1/09/2006;4515.3;118.9289037;142731133.6;147811387;112763;5207212.735;53236.53125;0
1/10/2006;14899.5;141.2139486;142845794.1;147503265.7;122369.6774;4784640.731;16531.48889;0
1/11/2006;13537.3;76.83880706;142407416.4;146939586.8;108752.6667;4720002.76;131799.4678;0
1/12/2006;6765.3;68.82653086;142360235.6;145584168.9;201596.7742;3443755.007;43459.53615;0
1/01/2007;3023.8;88.5183813;139015767.7;142509524.1;106505.8065;3646107.639;142120.897;0
1/02/2007;2294.4;108.2792686;145248086.6;148814581.1;134180.3571;3704557.424;54355.865;0
1/03/2007;9740.7;102.2640691;145526388.9;148101641.7;129434.5161;2807815.181;55592.60714;0
1/04/2007;15493.2;90.711007;141422893.2;142052702.6;687875;1531672.256;279114.6726;0
1/05/2007;10826.9;79.05205862;144346622.4;145520746.4;166275.8065;1628390.71;330656.247;0
1/06/2007;7526;80.5547558;143824943;144781191.5;55613.66667;1156894.004;167344.5112;0
1/07/2007;4999.1;82.80186945;144143061.6;146750188.8;124118.0645;2802910.038;130682.8988;0
1/08/2007;9650.4;84.35218689;145413495.6;147459888.7;87385.16129;2249124.268;170272.5919;0
1/09/2007;4319;87.79453532;147155252.2;149356001.5;188341;2428072.754;58473.633;0
1/10/2007;25257.8;97.30619905;146511265.4;147884285.9;129892.9032;1528812.075;27684.80862;0
1/11/2007;11515.2;62.47512411;148452512.7;150463324.9;150925.6667;2539896.684;517933.4418;0
1/12/2007;13426.5;87.87089304;146676484.4;149502827.7;161422.9032;3031237.172;64171.35238;0
1/01/2008;8684.2;102.731389;142531022.4;144691455.2;136449.3548;2339463.814;45518.34034;0
1/02/2008;9430.4;117.1487372;148787713.8;149131516;119446.8966;705180.0946;217614.4624;0
1/03/2008;13182;89.06945348;140758432.2;140777936.5;114653.871;230707.9677;96549.80355;0
1/04/2008;12786;110.4947533;149040616.7;148925065;115551.6667;0;0;0
1/05/2008;18594.8;109.9846965;145585026.9;145392844.6;169198.3871;162878.9616;185862.9397;0
1/06/2008;10271.8;102.9517559;145930016.7;146436172.3;96568.33333;836279.4029;177803.482;0
1/07/2008;8840;109.078146;148237731.5;148222339.6;159944.5161;191820.5771;47267.93129;0
1/08/2008;12831.8;107.8462447;146665034.3;148748212.4;116561.9355;2211913.513;13477.74107;0
1/09/2008;7888.7;106.7961812;151466178.5;154432191.2;136295.6667;3109974.605;10951.71905;0
1/10/2008;14593.4;95.56607019;151048548.9;154018693.3;234674.1935;3241726.354;49745.30087;0
1/11/2008;20523.8;111.5929224;148651610.1;150456547.3;120653.3333;1945277.492;21874.33185;0
1/12/2008;7441.4;116.2693593;147854859.3;152428670.5;86683.54839;4825667.142;13394.42;0
1/01/2009;7089.1;141.1667452;144023626.7;148073982.3;110705.1613;4180147.089;23667.1388;0
1/02/2009;8106.8;123.7205799;149185697.6;152551247.9;85754.64286;3456402.59;6796.929048;0
1/03/2009;14333.2;114.3333136;147099552.7;152724850.9;97651.93548;5749901.697;92833.27111;0
1/04/2009;10193.4;94.07251538;146870659.5;150610183.4;75437;3967021.009;162921.5268;0
1/05/2009;8600.3;128.4158554;147956129;152436416.2;236039.6774;4863282.38;216934.3019;0
1/06/2009;7840.5;138.808195;147142173.9;150356284.3;75114;3396540.895;134145.6225;0
1/07/2009;5297.7;138.2103035;150110192.5;152131712.1;91666.12903;2254624.427;151193.0934;0
1/08/2009;5236.7;131.5464261;149981680.7;154240064;125647.6667;4429204.762;69365.23682;0
1/09/2009;5354.9;194.6808632;156031516.8;162670200.4;433923;7076154.82;6261.585882;0
1/10/2009;13888.9;179.235629;152816312.2;155206265.2;176281.9355;2569258.502;4463.319524;0
1/11/2009;9444;142.9963013;153585117.9;155413006;115207;1950469.785;11062.052;0
1/12/2009;4347.2;176.1652372;152941038.6;153660923.4;49038.70968;785865.6258;21008.1432;0
1/01/2010;1507.7;129.4042091;147643242.4;148955577.6;78361.6129;1395226.81;8260.62;0
1/02/2010;3995.4;171.728393;157480699.3;157518349.4;92811.78571;173022.7193;45834.72846;0
1/03/2010;4623.8;187.563675;157745850.6;157671789.9;216341.2903;170993.08;30692.65793;0
1/04/2010;24595;191.5538548;153691817.6;153574160;107318;9289.606333;19629.14933;0
1/05/2010;20970.8;156.1747031;154384165.7;154251315.2;135039.6774;27081.35387;24892.18645;0
1/06/2010;9985;95.13288876;152902472.6;154519203.2;93933.33333;1776748.494;68363.38138;0
