equipos,bateos,runs
Texas,5659,855
Boston,5710,875
Detroit,5563,787
Kansas,5672,730
St.,5532,762
New_S.,5600,718
New_Y.,5518,867
Milwaukee,5447,721
Colorado,5544,735
Houston,5598,615
Baltimore,5585,708
Los_An.,5436,644
Chicago,5549,654
Cincinnati,5612,735
Los_P.,5513,667
Philadelphia,5579,713
Chicago,5502,654
Cleveland,5509,704
Arizona,5421,731
Toronto,5559,743
Minnesota,5487,619
Florida,5508,625
Pittsburgh,5421,610
Oakland,5452,645
Tampa,5436,707
Atlanta,5528,641
Washington,5441,624
San.F,5486,570
San.I,5417,593
Seattle,5421,556
