,time_simulation,P_104 [L/s],Mix_TK100,Mix_R101,Csus_R101,x_R101,SV_p,SV_gl,molCH4_acum_V101,molCO2_acum_V101,molO2_acum_V101,molH2S_acum_V101,molNH3_acum_V101,molH2O_acum_V101,biogas_acum_V101,Pacum_V101,Pstorage_V101,x_CH4_V101,x_CO2_V101,x_O2_V101,x_NH3_V101,x_H2S_V101,RH_V101,molCH4_acum_V102,molCO2_acum_V102,molO2_acum_V102,molH2S_acum_V102,molNH3_acum_V102,molH2O_acum_V102,biogas_acum_V102,Pacum_V102,Pstorage_V102,x_CH4_V102,x_CO2_V102,x_O2_V102,x_NH3_V102,x_H2S_V102,RH_V102,molCH4_acum_V107,molCO2_acum_V107,molO2_acum_V107,molH2S_acum_V107,molNH3_acum_V107,molH2O_acum_V107,biogas_acum_V107,Pacum_V107,Pstorage_V107,x_CH4_V107,x_CO2_V107,x_O2_V107,x_NH3_V107,x_H2S_V107,RH_V107
0,3600,18.0,50,50,0.0014355321570022309,0.9517235097811425,0.017673282375427514,18.20348084669034,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.4095179549387424,0.4095179549387424,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,51.379071178929124,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
1,7200,0.0,50,50,0.0014355321570022309,0.9517235097811425,0.004827649021885753,4.762234377639201,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.4095384179755683,0.4095384179755683,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,51.33324731621747,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2,10800,0.0,50,50,0.0014355321570022309,0.9517235097811425,0.004827649021885753,4.762234377639201,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.40946327069139776,0.40946327069139776,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,51.50175512271448,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
3,14400,0.0,50,50,0.0014355321570022309,0.9517235097811425,0.004827649021885753,4.762234377639201,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.4140007020252471,0.4140007020252471,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,42.35963050999779,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4,18000,0.0,50,50,0.0014355321570022309,0.9517235097811425,0.004827649021885753,4.762234377639201,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.40822374575677245,0.40822374575677245,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,54.37335313361717,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5,21600,0.0,50,50,0.0014355321570022309,0.9517235097811425,0.004827649021885753,4.762234377639201,0.024826670124066967,0.016080911330361557,0.0016302652159547182,0.0,0.002539091262688667,0.0006713377219848305,0.045748275655056736,0.408306484736272,0.408306484736272,55.07621249901319,35.67436491413354,3.616628126726927,5632.794460126349,0.0,54.17613836966897,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
6,25200,18.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.8161373178479039,0.8161373178479039,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,49.959104783516814,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7,28800,0.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.8164815422199091,0.8164815422199091,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,49.58569916416859,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
8,32400,0.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.8151714128775146,0.8151714128775146,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,51.023975643248555,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
9,36000,0.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.8172511432537249,0.8172511432537249,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,48.76221025098059,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
10,39600,0.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.818637213608634,0.818637213608634,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,47.317777094275804,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
11,43200,0.0,50,50,0.0017148540011071882,0.9423300049341276,0.005766999506587243,5.688856663272986,0.049406992405303204,0.032002256444344124,0.003271809452430087,0.0,0.005052987859633283,0.0012994835352084521,0.09103352969691914,0.8157437706431043,0.8157437706431043,55.05936098798703,35.66344973085524,3.646118271022711,5631.071010135038,0.0,50.3899134442123,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
12,46800,18.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.228609468306906,1.228609468306906,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,44.98901238565173,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
13,50400,0.0,50,50,0.0019914354663883487,0.9330286581560474,0.006697134184395263,6.606388016196708,0.07374616135004533,0.04776739996537027,0.00520992753710149,0.0,0.007542221047163728,0.0019082702891954884,0.1361739801888763,1.217625818690401,1.217625818690401,54.92553638985426,35.57676788888287,3.8803113177550594,5617.384403507822,0.0,52.75306172821419,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
